Memory_GB,Page_Size,Method,Mean_ms,StdDev_ms,P99_ms,Min_ms,Max_ms,PF_User,PF_Kernel,PF_Total,TLB_Total,TLB_RemoteShootdown,TLB_LocalShootdown,TLB_LocalMM,TLB_RemoteIPI,TLB_TaskSwitch,HW_Cycles,HW_Instructions,HW_CacheRefs,HW_CacheMisses,HW_BranchMisses,SW_PageFaults
1,4KB,fork,0.331843,0.074093,0.561436,0.155261,0.561436,10.04,2.06,12.10,9.32,0.00,0.00,8.03,0.31,0.98,1597738,1645220,69748,32616,3964,44
1,4KB,vfork,0.032280,0.009877,0.090734,0.024890,0.090734,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,537141,676646,21819,4207,1930,0
1,4KB,posix_spawn,0.118220,0.048609,0.346565,0.062960,0.346565,50.01,2.92,52.93,17.82,0.00,0.00,13.00,2.60,2.22,10364274,8777910,320949,76257,45682,93
1,2MB,fork,0.363198,0.111920,0.896177,0.129302,0.896177,10.03,2.05,12.08,9.69,0.00,0.00,8.07,0.66,0.96,1654630,1537930,61595,31526,2733,51
1,2MB,vfork,0.030335,0.012575,0.101766,0.019785,0.101766,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,531246,606312,18778,3197,2434,0
1,2MB,posix_spawn,0.139022,0.081617,0.494518,0.062626,0.494518,50.15,2.91,53.06,17.32,0.00,0.00,13.00,2.18,2.14,11435349,10196576,385800,68334,57988,191
2,4KB,fork,0.559770,0.126007,0.994169,0.280695,0.994169,10.03,2.06,12.09,9.51,0.00,0.00,8.04,0.50,0.97,2763340,3036262,123090,51162,3966,47
2,4KB,vfork,0.028029,0.009506,0.081266,0.019434,0.081266,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,522533,591196,20504,3203,2082,0
2,4KB,posix_spawn,0.132596,0.073720,0.498350,0.073775,0.498350,49.92,2.88,52.80,17.65,0.00,0.00,13.00,2.52,2.13,11546350,10002775,397081,66711,54870,174
2,2MB,fork,0.585435,0.132335,0.910271,0.311488,0.910271,10.03,2.10,12.13,9.45,0.00,0.00,8.03,0.42,1.00,2796641,2759701,115012,51378,2839,51
2,2MB,vfork,0.029183,0.029961,0.251409,0.018281,0.251409,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,630732,609704,21831,3484,1955,0
2,2MB,posix_spawn,0.133301,0.088849,0.570475,0.065363,0.570475,50.00,2.93,52.93,17.78,0.00,0.00,13.00,2.61,2.17,12008800,10666460,393407,79312,55649,229
4,4KB,fork,2.787561,0.543770,6.113757,1.994322,6.113757,10.03,2.34,12.37,10.91,0.35,0.00,8.03,0.28,2.25,12806081,18239913,480809,209329,4277,33
4,4KB,vfork,0.033927,0.037104,0.373600,0.019110,0.373600,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.03,588624,613383,23552,3688,3200,0
4,4KB,posix_spawn,0.114859,0.061051,0.423720,0.051886,0.423720,50.03,3.00,53.03,16.57,0.00,0.00,13.00,1.52,2.05,9249444,8824609,291829,44672,49289,109
4,2MB,fork,1.228317,0.284469,1.949786,0.785727,1.949786,10.03,2.02,12.05,10.50,0.00,0.00,8.03,1.45,1.02,5241140,5604824,197237,87636,3941,42
4,2MB,vfork,0.030169,0.025209,0.248586,0.017696,0.248586,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,589060,612663,22870,3369,3496,0
4,2MB,posix_spawn,0.142111,0.074044,0.403568,0.073209,0.403568,49.92,2.93,52.85,17.03,0.00,0.00,13.00,1.96,2.07,13208363,11409186,405156,72311,69265,268
